"Issue Type","Issue Key","Summary","Description","Status","Priority","Labels","Epic Link","Epic Name","Created","Resolved"
"Story","SAR-27","Checkpoint и возобновление обработки","Прерванное видео сейчас пересчитывается с нуля.","To Do","Medium","детектор надёжность","SAR-1","","2026-08-15",""
"Bug","SAR-28","Цветовой детектор молчит: 0 срабатываний из 8445","Не диагностировано. Возможно следствие снятия синего, возможно отдельный дефект.","To Do","Medium","баг детектор","SAR-1","","2026-08-15",""
"Story","SAR-29","Ручной плеер с разметкой находок","Рисование рамок мышью. Видео ставится на паузу в момент начала разметки, иначе таймкод уезжает.","Done","Highest","плеер","SAR-2","","2026-08-15",""
"Story","SAR-30","Полоса покрытия по факту проигрывания","Учитывается реально проигранное, а не открытая страница.","Done","Highest","плеер покрытие","SAR-2","","2026-08-15",""
"Story","SAR-31","Оверлей рамок модели поверх видео","Опциональный, с легендой и отдельной цветовой схемой от ручных пометок.","Done","High","плеер","SAR-2","","2026-08-15",""
"Task","SAR-32","Полоса покрытия до обработки детектором","Ручной плеер доступен с момента появления файла, очередь может быть на сутки вперёд -- покрытие должно считаться уже тогда.","Done","High","плеер покрытие","SAR-2","","2026-08-15","2026-08-15"
"Task","SAR-33","Просмотр снимка до обработки детектором","","Done","Medium","плеер","SAR-2","","2026-08-15","2026-08-15"
"Task","SAR-34","Покадровая перемотка по Ctrl и стрелкам","","Done","Medium","плеер","SAR-2","","2026-08-15","2026-08-22"
"Task","SAR-35","Клик по кадру ставит видео на паузу","","Done","Low","плеер","SAR-2","","2026-08-15","2026-08-22"
"Task","SAR-36","Форма пометки внутри плеера","Пробел всегда отдан видео, а не полю ввода.","Done","Medium","плеер","SAR-2","","2026-08-15","2026-08-22"
"Task","SAR-37","Комментарии в плеере как разговор","Обсуждение вместо приклеенного сбоку виджета.","Done","Medium","плеер обсуждение","SAR-2","","2026-08-15","2026-08-21"
"Bug","SAR-38","Рамки не рисовались вообще: несовпадение имён полей","Функция возвращала одни имена, отрисовка читала другие. setAttribute принимает строку NaN МОЛЧА -- ни одной ошибки в консоли, просто ничего не рисуется.","Done","Highest","баг молчаливый-отказ плеер","SAR-2","","2026-08-15","2026-08-22"
"Bug","SAR-39","Кнопки плеера и клавиатура: три бага из одного корня","SVG-оверлей поверх видео перехватывал клики по нативным кнопкам. Лечится pointer-events: none по умолчанию.","Done","High","баг плеер","SAR-2","","2026-08-15","2026-08-22"
"Bug","SAR-40","Определение «человек печатает» ломало горячие клавиши","Проверка «это поле ввода?» срабатывала на чекбоксе. Смотреть надо на тип поля, а не на тег.","Done","Medium","баг плеер","SAR-2","","2026-08-15",""
"Bug","SAR-41","Рамки портились при зуме","Лечится vector-effect: non-scaling-stroke в SVG.","Done","Medium","баг плеер","SAR-2","","2026-08-15","2026-08-22"
"Bug","SAR-42","Покадровый шаг заклинивал плеер","","Done","High","баг плеер","SAR-2","","2026-08-15","2026-08-22"
"Task","SAR-43","Своя кнопка полного экрана убрана осознанно","Полноэкранный режим нельзя перезапросить после выхода из него: разрешение требует свежего действия человека, а оно к этому моменту истекает. Остались двойной клик и штатное меню.","Done","Medium","плеер решение","SAR-2","","2026-08-15","2026-08-22"
"Task","SAR-44","Переход на таймкод: пауза, перемотка, отрисовка по seeked","Иначе рамка отрисуется по старому кадру.","Done","Medium","плеер","SAR-2","","2026-08-15",""
"Story","SAR-45","Пространственная индексация рамок в плеере","Сейчас линейный перебор. Первое место, куда смотреть при жалобах на подтормаживание.","To Do","Low","плеер производительность","SAR-2","","2026-08-15",""
"Task","SAR-46","Реалтайм-синхронизация наблюдений","ОТКЛОНЕНО по решению заказчика: выбрано простое обновление по перезагрузке страницы.","To Do","Lowest","отклонено","SAR-2","","2026-08-15",""
"Story","SAR-47","Операции как единица работы","Схема, перенос существующих материалов, главный экран после входа -- список операций, а не плоский список файлов.","Done","Highest","операции","SAR-3","","2026-08-15","2026-08-18"
"Story","SAR-48","Роли участников","Участник, модератор обсуждений, администратор, без права комментировать. Права НИКОГДА не выдаются по догадке о личности -- только явным действием.","Done","Highest","роли безопасность","SAR-3","","2026-08-15","2026-08-17"
"Task","SAR-49","Создание операций через интерфейс","До этого операцию можно было завести только скриптом миграции, то есть пользователь не мог создать поиск никак.","Done","High","операции","SAR-3","","2026-08-15","2026-08-19"
"Task","SAR-50","Структура папок внутри операции","Раскладка как в облаке заказчика.","Done","Medium","операции","SAR-3","","2026-08-15","2026-08-18"
"Task","SAR-51","Карточка операции с навигацией по папкам","","Done","Medium","операции","SAR-3","","2026-08-15","2026-08-19"
"Task","SAR-52","Фильтр материалов по операции","","Done","Medium","операции","SAR-3","","2026-08-15","2026-08-19"
"Bug","SAR-53","Покрытие операции показывало 193 процента","Путались две разные величины: сумма просмотров и уникальное покрытие. Считать надо уникальное.","Done","High","баг покрытие","SAR-3","","2026-08-15","2026-08-19"
"Task","SAR-54","Выдача ролей по chat_id, а не только по нику","Ник можно сменить, идентификатор -- нет.","Done","High","роли безопасность","SAR-3","","2026-08-15","2026-08-17"
"Task","SAR-55","Навигация: вход ведёт к операциям","Любая ссылка «к списку файлов» должна вести на экран операции.","Done","Medium","навигация","SAR-3","","2026-08-15","2026-08-19"
"Task","SAR-56","Автопривязка файла к операции по папке","Файл в папке операции должен попадать в неё сам. Без этого материалы находились и обрабатывались, но висели в «Не разобрано».","Done","High","операции","SAR-3","","2026-08-15","2026-08-19"
"Story","SAR-57","Очередь работы: явное распределение материала","«Возьми этот файл» -- чтобы двое не смотрели одно и то же, а что-то не осталось непросмотренным. ГЛАВНОЕ НАПРАВЛЕНИЕ развития.","To Do","Highest","организация","SAR-3","","2026-08-15",""
"Story","SAR-58","Статус материала: разобран, нужна вторая пара глаз, закрыт","","To Do","Highest","организация","SAR-3","","2026-08-15",""
"Story","SAR-59","Учёт второго прохода","Сколько материала посмотрел хотя бы один человек, сколько -- двое.","To Do","High","организация покрытие","SAR-3","","2026-08-15",""
"Story","SAR-60","Сетка из девяти секторов и учёт скорости просмотра","","To Do","Medium","организация","SAR-3","","2026-08-15",""
"Story","SAR-61","Таск-менеджер на платформе","Большая фича, не начата. Сперва решить: своё или интеграция готового.","To Do","Low","организация","SAR-3","","2026-08-15",""
"Story","SAR-62","Хранение истории присутствия","Сейчас видно только «сколько сейчас», восстановить пик задним числом нельзя.","To Do","Low","организация","SAR-3","","2026-08-15",""
"Story","SAR-63","Триаж находок: приоритет и статус","","Done","Highest","находки","SAR-4","","2026-08-15",""
"Story","SAR-64","Обсуждение находок","","Done","High","находки обсуждение","SAR-4","","2026-08-15","2026-08-16"
"Story","SAR-65","Превью находок с окном предпросмотра","Зум колесом и пальцами, панорамирование мышью.","Done","High","находки","SAR-4","","2026-08-15","2026-08-21"
"Story","SAR-66","Страница кадра находки","Крупный кадр, вся карточка, обсуждение теми же эндпоинтами, что и в плеере.","Done","High","находки","SAR-4","","2026-08-15",""
"Story","SAR-67","Постоянная ссылка на находку через бота","Адрес туннеля меняется при каждом перезапуске, и прямая ссылка протухает МОЛЧА -- открывается чужая страница или ничего. Ссылка идёт через бота, который живёт по постоянному адресу.","Done","High","находки ссылки","SAR-4","","2026-08-15",""
"Bug","SAR-68","Отметки триажа не показывались: 47 отметок не видел никто","Связка из двух причин: неверное имя колонки в сортировке и проглоченное исключение. Ни одной ошибки наружу.","Done","Highest","баг молчаливый-отказ находки","SAR-4","","2026-08-15","2026-08-21"
"Task","SAR-69","Отбор находок по статусу","Больше половины отметок оказались «отклонено», и список превратился в перечень того, что находкой НЕ оказалось. Прятать нельзя -- в поиске к отвергнутому возвращаются.","Done","High","находки","SAR-4","","2026-08-15","2026-08-21"
"Task","SAR-70","Статус «аномалия»","Непонятно что, но на фон не похоже. Раньше такое приходилось либо отклонять и терять, либо записывать в «предположительно предмет» и врать.","Done","Medium","находки","SAR-4","","2026-08-15","2026-08-16"
"Story","SAR-71","Выгрузка находок в KML и GPX","Координатор работает в своей карте или навигаторе. В выгрузке РАЗДЕЛЕНЫ два разных вида точек: позиция дрона из телеметрии и расчётная точка объекта на земле. На материале операции они расходятся на 653 метра -- подписать одно другим значит увести группу в соседнее ущелье.","Done","Highest","находки выгрузка","SAR-4","","2026-08-15",""
"Story","SAR-72","Карта координат находок внутри платформы","Упирается не в карту, а в качество координат: из 31 пометки только у 8 посчитана точка объекта, у 15 известна лишь позиция дрона, у 8 видео телеметрии нет вовсе. Карта, где половина точек -- «где был дрон», хуже отсутствия карты.","To Do","Medium","находки карта","SAR-4","","2026-08-15",""
"Story","SAR-73","Персональные ссылки входа","Общий пароль в чат не отправляется НИКОГДА.","Done","Highest","бот безопасность","SAR-5","","2026-08-15",""
"Task","SAR-74","Личная ссылка отдельным самоудаляющимся сообщением","Пять секунд. Пересланный скриншот переписки не должен содержать рабочую ссылку входа.","Done","Highest","бот безопасность","SAR-5","","2026-08-15","2026-08-17"
"Story","SAR-75","Заявки на доступ","","Done","High","бот","SAR-5","","2026-08-15",""
"Task","SAR-76","Временное окно автовыдачи доступа","Во время операции поток новых волонтёров, вручную подтверждать каждого некому.","Done","Medium","бот","SAR-5","","2026-08-15","2026-08-15"
"Task","SAR-77","Команда со списком изменений","","Done","Low","бот","SAR-5","","2026-08-15","2026-08-17"
"Task","SAR-78","Все рабочие команды в меню бота","","Done","Low","бот","SAR-5","","2026-08-15","2026-08-19"
"Task","SAR-79","Команда состояния отдаёт ссылку на дашборд","","Done","Low","бот мониторинг","SAR-5","","2026-08-15","2026-08-19"
"Bug","SAR-80","Бот умирал незамеченным: у него одного нет heartbeat","Процесс отсутствовал четверо суток. Воркер, сервер и сторож туннеля отмечаются в общей таблице, бот -- нет, поэтому мониторинг физически не мог об этом сказать и не сказал.","To Do","High","баг молчаливый-отказ бот мониторинг","SAR-5","","2026-08-15",""
"Story","SAR-81","Метрики платформы и проверка здоровья","Счётчики и латентность по эндпоинтам, возраст резервной копии, свободное место, живость процессов.","Done","Highest","мониторинг","SAR-6","","2026-08-15","2026-08-18"
"Story","SAR-82","Grafana-стек и тревоги в боте","Дашборд и источник данных заведены файлами.","Done","High","мониторинг","SAR-6","","2026-08-15","2026-08-18"
"Task","SAR-83","Учёт нагрузки на API: запросы и время ответа","","Done","Medium","мониторинг","SAR-6","","2026-08-15","2026-08-20"
"Bug","SAR-84","Онлайн на дашборде всегда показывал ноль","Сравнение числа со строкой.","Done","High","баг мониторинг","SAR-6","","2026-08-15","2026-08-18"
"Bug","SAR-85","Загрузка процессора всегда показывала ноль","Гонка за состояние библиотеки замера. Лечится фоновым замером.","Done","High","баг мониторинг","SAR-6","","2026-08-15","2026-08-18"
"Bug","SAR-86","Пустой вектор в запросе давал пустую панель, а не ноль","Панель ошибок молчала не потому, что ошибок не было. Датасорс пришит явно, пустота больше не подменяется нулём.","Done","High","баг молчаливый-отказ мониторинг","SAR-6","","2026-08-15","2026-08-18"
"Bug","SAR-87","Тревоги падали на боевой базе: не было миграции","","Done","High","баг мониторинг","SAR-6","","2026-08-15","2026-08-18"
"Bug","SAR-88","Проверка здоровья обходила папку отчётов синхронно","573 тысячи файлов на каждый запрос.","Done","High","баг мониторинг производительность","SAR-6","","2026-08-15","2026-08-18"
"Bug","SAR-89","Метрика присутствия стояла на 3 страницах из 6","На главной после входа её не было, и счётчик «онлайн» занижал число работающих людей. Внедрять такое надо единой точкой, а не копированием по шаблонам.","Done","High","баг молчаливый-отказ мониторинг","SAR-6","","2026-08-15","2026-08-21"
"Task","SAR-90","Дашборд открывается на последних 5 минутах","","Done","Low","мониторинг","SAR-6","","2026-08-15","2026-08-22"
"Task","SAR-91","Метрики расхода на облако","Занято во временной папке, подключено хранилищ, сколько не отвечает, сколько материала в облаке. Отдаются ВСЕГДА, даже когда облако не подключено: пустой результат запроса даёт на панели пустоту, а не ноль.","Done","High","мониторинг облако","SAR-6","","2026-08-15",""
"Story","SAR-92","Восстановление после сбоя воркера","При старте возвращает в очередь всё, что зависло в обработке с прошлого запуска.","Done","Highest","надёжность","SAR-7","","2026-08-15",""
"Bug","SAR-93","Статус «обработка», зависший навсегда","Процесс убит до записи финального статуса -- запись осталась в обработке, хотя на диске всё готово. Есть разовый скрипт починки по факту наличия файлов.","Done","High","баг надёжность","SAR-7","","2026-08-15",""
"Bug","SAR-94","Кракозябры в логах на Windows","Дочерний процесс обязан получать явную кодировку и переменную окружения: конфликт кодировок консоли на Windows.","Done","High","баг windows","SAR-7","","2026-08-15",""
"Bug","SAR-95","Вывод дочернего процесса зависал блоками","Без флага небуферизованного вывода print в дочернем процессе копится и появляется разом в конце -- выглядит как зависание, хотя работа идёт.","Done","High","баг windows","SAR-7","","2026-08-15",""
"Bug","SAR-96","Вложенные ссылки в генерируемом HTML","Браузер разбирает непредсказуемо, ссылка может не работать.","Done","Medium","баг","SAR-7","","2026-08-15",""
"Bug","SAR-97","Забытый импорт после разделения файлов сломал счётчик онлайн","Тихо: пустой обработчик ошибок в браузере проглатывал сбой. Отсюда правило: проверять импорты после любого урезания файла.","Done","High","баг молчаливый-отказ","SAR-7","","2026-08-15",""
"Bug","SAR-98","Порядок декораторов открыл платформу без пароля","Новый хук, вставленный МЕЖДУ декоратором и функцией, увёл декоратор на себя, а проверка входа осталась незарегистрированной. Поймали существующие тесты; добавлен отдельный тест-страж.","Done","Highest","баг безопасность","SAR-7","","2026-08-15",""
"Story","SAR-99","Кеш списка материалов","Самый дорогой запрос платформы, его дёргает каждая открытая вкладка раз в 5 секунд. В ночь пика операции люди в это упирались. Медиана улучшилась в 42 раза.","Done","Highest","производительность","SAR-7","","2026-08-15","2026-08-21"
"Bug","SAR-100","Затор при протухании кеша","Отдача устаревшего значения с фоновым обновлением.","Done","High","производительность","SAR-7","","2026-08-15",""
"Bug","SAR-101","Холодный старт кеша дублировал пересчёт","","Done","Medium","производительность","SAR-7","","2026-08-15","2026-08-21"
"Task","SAR-102","Нагрузочное тестирование","","Done","Medium","тесты производительность","SAR-7","","2026-08-15","2026-08-17"
"Task","SAR-103","Резерв ядер и потолки на детекции","","Done","High","производительность","SAR-7","","2026-08-15","2026-08-15"
"Bug","SAR-104","Вечные повторы после неудачной генерации превью","Признаком «надо сделать» было отсутствие файла превью, повтор шёл каждые 15 секунд -- 240 попыток в час на один битый файл. На локальном диске безобидно, в облаке каждая попытка стала бы скачиванием.","Done","High","баг облако","SAR-9","","2026-08-15","2026-09-13"
"Story","SAR-105","Режим представительных кадров","Вместо всех полных кадров сцены -- первый, пиковый и последний.","Done","High","место","SAR-8","","2026-08-15",""
"Task","SAR-106","Ретроактивное сжатие готовых отчётов","Опция появилась, но в боевом конфиге осталось «все кадры»: 16,9 ГБ против примерно 1 ГБ, диск забился во время операции.","Done","Highest","место","SAR-8","","2026-08-15","2026-08-18"
"Story","SAR-107","Лёгкие копии видео для плеера","Съёмка идёт на 30 Мбит/с, и столько нужно каждому зрителю через один канал наружу. На материале операции 23,2 ГБ превратились в 2,7 ГБ.","Done","Highest","место производительность","SAR-8","","2026-08-15","2026-08-22"
"Task","SAR-108","Чистка осиротевших кропов","412 900 файлов на 2,81 ГБ, на которые не ссылается ни один отчёт. Остаток разовой чистки ложных срабатываний, которая намеренно оставила файлы. УРОК: разовый скрипт, оставляющий файлы, обязан оставлять и способ их убрать.","Done","High","место","SAR-8","","2026-08-15",""
"Task","SAR-109","Ограничение числа кропов на сцену","В отчёт встраивается не больше 80 на сцену, остальное лежало мёртвым грузом. Медианная сцена -- 9 детекций, максимум 1598.","Done","Medium","место","SAR-8","","2026-08-15",""
"Bug","SAR-110","Дубли записей материала","Было 38 видео и 39 фото вместо 34 и 24; покрытие занижалось до 73 процентов вместо 82. Две причины: повторная регистрация и побайтовая копия папки уровнем выше. Данные людей при слиянии переносились.","Done","Highest","баг данные","SAR-8","","2026-08-15",""
"Story","SAR-111","Провайдеры облачных хранилищ","Google Диск и Яндекс.Диск за одним интерфейсом: листинг, скачивание с докачкой, чтение по частям, обработка ограничения частоты. Только стандартная библиотека.","Done","Highest","облако","SAR-9","","2026-08-15","2026-09-13"
"Story","SAR-112","Временная папка с потолком и вытеснением","Вытеснение по давности обращения, закреплённые не трогаются. ГЛАВНОЕ ПРАВИЛО: освободить нечем -- скачивание НЕ начинается. Переполнить диск, где лежит база операции, нельзя.","Done","Highest","облако надёжность","SAR-9","","2026-08-15","2026-09-13"
"Story","SAR-113","Единая дверь к байтам материала","Байты нужны трём местам. Три двери означали бы три набора ограничителей, которые разойдутся -- как уже разошёлся путь к папке резервных копий, считавшийся в трёх местах.","Done","Highest","облако архитектура","SAR-9","","2026-08-15","2026-09-13"
"Story","SAR-114","Подключение дисков в админке","Проверка подключения ДО сохранения: неработающее подключение в списке исправных хуже его отсутствия.","Done","High","облако админка","SAR-9","","2026-08-15","2026-09-13"
"Story","SAR-115","Сканер материала через API провайдера","Совпадение ищется по относительному пути, поэтому перенос папки в облако с сохранением структуры подхватывает существующие записи вместе с пометками и обсуждениями.","Done","Highest","облако","SAR-9","","2026-08-15","2026-09-13"
"Task","SAR-116","Отказ от OAuth с перенаправлением","РЕШЕНИЕ: ему нужен постоянный адрес возврата, а у платформы его нет -- туннель меняет имя при каждом перезапуске. Токен вводится вручную.","Done","High","облако решение","SAR-9","","2026-08-15","2026-09-13"
"Bug","SAR-117","Порядок проверок в отдаче видео","Наличие оригинала проверялось ДО подстановки лёгкой копии. С материалом в облаке плеер отдавал бы «файл не найден», имея готовую копию под рукой.","Done","High","баг облако плеер","SAR-9","","2026-08-15","2026-09-13"
"Bug","SAR-118","Токен с не-ASCII символами ронял платформу","Заголовки HTTP кодируются в latin-1, и кириллица в токене давала невнятную ошибку кодировки из недр библиотеки. Найдено при первой живой проверке. Через форму админки путь тоже достижим.","Done","Medium","баг облако","SAR-9","","2026-08-15","2026-09-13"
"Task","SAR-119","Бюджет обхода папки","Превью и длительность считались для каждого файла на каждом проходе. Подключение папки с полусотней видео означало бы попытку прочитать 21 ГБ разом.","Done","High","облако","SAR-9","","2026-08-15","2026-09-13"
"Task","SAR-120","Инструмент проверки подключения","Отдельный скрипт: принимают ли токен, что в папке, сойдётся ли с ограничениями. Ничего не пишет и не меняет. Когда «не работает», причин три -- разбираться во всех сразу худший способ.","Done","Medium","облако инструменты","SAR-9","","2026-08-15","2026-09-13"
"Story","SAR-121","Обновление протухших токенов","Поля в схеме есть, логики нет. Токен Google живёт час -- практически это означает, что сегодня применим только Яндекс.","To Do","Highest","облако","SAR-9","","2026-08-15",""
"Story","SAR-122","Превью и длительность по частям","Механизм чтения кусками готов, но генерация превью умеет только локальный путь. Пока файл не скачан, картинки у него не будет.","To Do","High","облако","SAR-9","","2026-08-15",""
"Story","SAR-123","Облачный материал в общем списке файлов","Регистрируется и обрабатывается, но главный список строится обходом локальной папки.","To Do","High","облако","SAR-9","","2026-08-15",""
"Task","SAR-124","Проверка на живом облаке","Весь слой покрыт тестами с подменой сети; живого подключения ещё не было. Первое включение -- на одной небольшой папке.","To Do","Highest","облако риск","SAR-9","","2026-08-15",""
"Task","SAR-125","Проверить запас места под временную папку","Значение имеет только диск, где лежит data_dir: туда качаются оригиналы. Клиент Google Диска в реализации НЕ участвует -- платформа ходит в API напрямую. Проверено 13.09.2026: D: свободно 24,4 ГБ при потолке папки 4 ГБ.","Done","Medium","облако инфраструктура","SAR-9","","2026-08-15","2026-09-13"
"Story","SAR-126","Разделение сервера и воркера","Два независимых процесса, общающихся ТОЛЬКО через базу и файлы. Перезапуск веб-слоя не прерывает текущую обработку.","Done","Highest","архитектура","SAR-10","","2026-08-15",""
"Story","SAR-127","Резервное копирование базы","Сверка по таблицам, содержащим работу людей.","Done","Highest","бэкап","SAR-10","","2026-08-15","2026-08-18"
"Bug","SAR-128","Мониторинг копий смотрел не в ту папку","Путь считался в ТРЁХ местах, два были неверны. Проверка честно рапортовала о свежести копий, которых там не было. Теперь путь считается ровно в одном месте.","Done","Highest","баг молчаливый-отказ бэкап","SAR-10","","2026-08-15","2026-08-22"
"Story","SAR-129","Пути вычисляются, а не хранятся","Абсолютные пути в базе прибивали её к машине, букве диска и операционной системе. Одна правка закрыла три переезда сразу: материал в облако, проект на другой диск, платформа на сервер.","Done","Highest","архитектура переносимость","SAR-10","","2026-08-15",""
"Story","SAR-130","Служебные данные отдельно от материала","Материал -- 75 крупных файлов, читаемых подряд; служебное -- 574 тысячи мелких, нужных постоянно. В одной папке держать нельзя.","Done","Highest","архитектура место","SAR-10","","2026-08-15",""
"Story","SAR-131","Админка и настройки на ходу","Настройки живут в базе, а не в конфиге: меняет их сервер, а применяет воркер, и общаются они только через базу. Значения зажимаются по границам, а не отвергаются.","Done","High","админка архитектура","SAR-10","","2026-08-15",""
"Story","SAR-132","Сторож туннеля","Поднимает туннель, проверяет адрес по ПУБЛИЧНОМУ резолверу, а не по системному, отмечается в общей таблице.","Done","High","инфраструктура","SAR-10","","2026-08-15",""
"Bug","SAR-133","Сторож туннеля повис на восемь суток","Внешняя команда без таймаута ждёт вечно. Теперь все внешние вызовы с таймаутом, а отметка живости показывает зависание.","Done","Highest","баг молчаливый-отказ инфраструктура","SAR-10","","2026-08-15",""
"Task","SAR-134","Production WSGI-сервер","Поднимается через waitress, если он установлен, с предупреждением если нет.","Done","High","инфраструктура","SAR-10","","2026-08-15",""
"Task","SAR-135","Секреты не попадают в репозиторий","Боевой конфиг с паролем и токеном бота однажды уже утекал в архив обновлений и затирал пароль обратно на умолчание. Копии конфига под разными именами тоже перекрыты.","Done","Highest","безопасность","SAR-10","","2026-08-15","2026-08-21"
"Story","SAR-136","Внешняя проверка доступности","ЧАСТИЧНО: сторож туннеля есть. Чего нет -- проверки СНАРУЖИ, с другой машины. Если умрёт вся эта машина, сообщить о недоступности будет некому.","To Do","Highest","инфраструктура мониторинг","SAR-10","","2026-08-15",""
"Story","SAR-137","Обратный прокси и HTTPS","Сейчас пароль уходит открытым текстом. Принято как приемлемый риск только для локальной сети и VPN.","To Do","High","инфраструктура безопасность","SAR-10","","2026-08-15",""
